,Title,Year,Source,Authors,Class,topic
771,Reward-Weighted Regression Converges to a Global Optimum,2022,AAAI,"Miroslav Strupl, Francesco Faccio, Dylan R. Ashley, Rupesh Kumar Srivastava, Jürgen Schmidhuber",MAIN TRACK,
772,Neural Interferometry: Image Reconstruction from Astronomical Interferometers Using Transformer-Conditioned Neural Fields,2022,AAAI,"Benjamin Wu, Benjamin Eckart, Chao Liu, Jan Kautz",MAIN TRACK,transformer
773,Identifying Early Warning Signals from News Using Network Community Detection,2022,AAAI,"Nataliya Le Vine, Eric Boxer, Mustafa Dinani, Paolo Tortora, Subhradeep Das",MAIN TRACK,
774,"Same State, Different Task: Continual Reinforcement Learning without Interference",2022,AAAI,"Samuel Kessler, Jack Parker-Holder, Philip Ball, Stefan Zohren, Stephen J. Roberts",MAIN TRACK,reinforcement learning
775,Probing Linguistic Information for Logical Inference In Pre-Trained Language Models,2022,AAAI,"Zeming Chen, Qiyue Gao",MAIN TRACK,inference
776,RRL: Regional Rotate Layer in Convolutional Neural Network,2022,AAAI,"Zongbo Hao, Tao Zhang, Mingwang Chen, Kaixu Zhou",MAIN TRACK,
777,Generative Adaptive Convolutions for Real-World Noisy Image Denoising,2022,AAAI,"Ruijun Ma, Shuyi Li, Bob Zhang, Zhengming Li",MAIN TRACK,generative model/adaptive
778,Texture Generation Using Dual-Domain Feature Flow with Multi-View Hallucinations,2022,AAAI,"Seunggyu Chang, Jungchan Cho, Songhwai Oh",MAIN TRACK,zero_few-shot/generative model/flow/multi-view
779,Hedonic Diversity Games: A Complexity Picture with More than Two Colors,2022,AAAI,"Robert Ganian, Thekla Hamm, Dušan Knop, Šimon Schierreich, Ondřej Suchý",MAIN TRACK,
780,Semi-Supervised Object Detection with Adaptive Class-Rebalancing Self-Training,2022,AAAI,"Fangyuan Zhang, Tianxiang Pan, Bin Wang",MAIN TRACK,adaptive
781,Adaptive Logit Adjustment Loss for Long-Tailed Visual Recognition,2022,AAAI,"Yan Zhao, Weicong Chen, Xu Tan, Kai Huang, Jihong Zhu",MAIN TRACK,adaptive
782,The Psychology of Semantic Spaces: Experiments with Positive Emotion (Student Abstract),2022,AAAI,"Xuan Liu, Kokil Jaidka, Niyati Chhaya",STUDENT ABSTRACT AND POSTER PROGRAM,
783,ALLURE: A Multi-Modal Guided Environment for Helping Children Learn to Solve a Rubik‚Äôs Cube with Automatic Solving and Interactive Explanations,2022,AAAI,"Kausik Lakkaraju, Thahimum Hassan, Vedant Khandelwal, Prathamjeet Singh, Cassidy Bradley, Ronak Shah, Forest Agostinelli, Biplav Srivastava, Dezhi Wu",DEMONSTRATIONS,active learning/multimodal
784,ApproxIFER: A Model-Agnostic Approach to Resilient and Robust Prediction Serving Systems,2022,AAAI,"Mahdi Soleymani, Ramy E. Ali, Hessam Mahdavifar, A. Salman Avestimehr",MAIN TRACK,
785,Optimal Tensor Transport,2022,AAAI,"Tanguy Kerdoncuff, Rémi Emonet, Michaël Perrot, Marc Sebban",MAIN TRACK,
786,From One to All: Learning to Match Heterogeneous and Partially Overlapped Graphs,2022,AAAI,"Weijie Liu, Hui Qian, Chao Zhang, Jiahao Xie, Zebang Shen, Nenggan Zheng",MAIN TRACK,graph
787,Braid: Weaving Symbolic and Neural Knowledge into Coherent Logical Explanations,2022,AAAI,"Aditya Kalyanpur, Tom Breloff, David A Ferrucci",MAIN TRACK,
788,Activation Modulation and Recalibration Scheme for Weakly Supervised Semantic Segmentation,2022,AAAI,"Jie Qin, Jie Wu, Xuefeng Xiao, Lujun Li, Xingang Wang",MAIN TRACK,zero_few-shot/segmentation
789,Gradient and Mangitude Based Pruning for Sparse Deep Neural Networks,2022,AAAI,Kaleab B Belay,UNDERGRADUATE CONSORTIUM,sparse
790,Training on the Test Set: Mapping the System-Problem Space in AI,2022,AAAI,"Jose Hernandez-Orallo, Wout Schellaert, Fernando Mart√≠nez-Plumed",SENIOR MEMBER PRESENTATION TRACK - BLUE SKY,
791,Adaptive Orthogonal Projection for Continual Learning,2022,AAAI,"Yiduo Guo, Wenpeng Hu, Dongyan Zhao, Bing Liu",MAIN TRACK,adaptive
792,Hibernated Backdoor: A Mutual Information Empowered Backdoor Attack to Deep Neural Networks,2022,AAAI,"Rui Ning, Jiang Li, Chunsheng Xin, Hongyi Wu, Chonggang Wang",MAIN TRACK,
793,Self-Supervised Object Localization with Joint Graph Partition,2022,AAAI,"Yukun Su, Guosheng Lin, Yun Hao, Yiwen Cao, Wenjun Wang, Qingyao Wu",MAIN TRACK,graph/zero_few-shot
794,NukCP: An Improved Local Search Algorithm for Maximum k-Club Problem,2022,AAAI,"Jiejiang Chen, Yiyuan Wang, Shaowei Cai, Minghao Yin, Yupeng Zhou, Wu jieyu",MAIN TRACK,
795,When Facial Expression Recognition Meets Few-Shot Learning: A Joint and Alternate Learning Framework,2022,AAAI,"Xinyi Zou, Yan Yan, Jing-Hao Xue, Si Chen, Hanzi Wang",MAIN TRACK,zero_few-shot
796,Multi-Leader Congestion Games with an Adversary,2022,AAAI,"Tobias Harks, Mona Henle, Max Klimm, Jannik Matuschke, Anja Schedel",MAIN TRACK,
797,Weakly-Supervised Salient Object Detection Using Point Supervison,2022,AAAI,"gao shuyong, Wei Zhang, Yan Wang, Qianyu Guo, Chenglong Zhang, Yangji He, Wenqiang Zhang",MAIN TRACK,zero_few-shot
798,Efficient Continuous Control with Double Actors and Regularized Critics,2022,AAAI,"Jiafei Lyu, Xiaoteng Ma, Jiangpeng Yan, Xiu Li",MAIN TRACK,
799,Frozen Pretrained Transformers as Universal Computation Engines,2022,AAAI,"Kevin Lu, Aditya Grover, Pieter Abbeel, Igor Mordatch",MAIN TRACK,transformer
800,An Axiomatic Approach to Revising Preferences,2022,AAAI,"Adrian Haret, Johannes P. Wallner",MAIN TRACK,
801,The Semi-Random Likelihood of Doctrinal Paradoxes,2022,AAAI,"Ao Liu, Lirong Xia",MAIN TRACK,
802,Reasoning About Causal Models with Infinitely Many Variables,2022,AAAI,"Joseph Y. Halpern, Spencer Peters",MAIN TRACK,
803,A Unifying Theory of Thompson Sampling for Continuous Risk-Averse Bandits,2022,AAAI,"Joel Chang, Vincent Tan",MAIN TRACK,
804,Contrastive Learning from Extremely Augmented Skeleton Sequences for Self-Supervised Action Recognition,2022,AAAI,"Tianyu Guo, Hong Liu, Zhan Chen, Mengyuan Liu, Tao Wang, Runwei Ding",MAIN TRACK,zero_few-shot/contrastive learning/augmentation
805,NeuralArTS: Structuring Neural Architecture Search with Type Theory (Student Abstract),2022,AAAI,"Robert Wu, Nayan Saxena, Rohan Jain",STUDENT ABSTRACT AND POSTER PROGRAM - FINALIST,
806,Crowdsourcing with Meta-Knowledge Transfer (Student Abstract),2022,AAAI,"Sunyue Xu, Jing Zhang",STUDENT ABSTRACT AND POSTER PROGRAM,meta-learning/transfer learning
807,A Random CNN Sees Objects: One Inductive Bias of CNN and Its Applications,2022,AAAI,"Yun-Hao Cao, Jianxin Wu",MAIN TRACK,
808,Social Interpretable Tree for Pedestrian Trajectory Prediction,2022,AAAI,"Liushuai Shi, Le Wang, Chengjiang Long, Sanping Zhou, Fang Zheng, Nanning Zheng, Gang Hua",MAIN TRACK,
809,Smart Out-of-Home Advertising Using Artificial Intelligence and GIS Data,2022,AAAI,"Nader Nader, Rafael Alexandrou, Iasonas Iasonas, Andreas Pamboris, Harris Papadopoulos, Andreas Konstantinidis",DEMONSTRATIONS,
810,Saliency Grafting: Innocuous Attribution-Guided Mixup with Calibrated Label Mixing,2022,AAAI,"Joonhyung Park, June Yong Yang, Jinwoo Shin, Sung Ju Hwang, Eunho Yang",MAIN TRACK,
811,Code Representation Learning Using Pr√ºfer Sequences (Student Abstract),2022,AAAI,"Tenzin Jinpa, Yong Gao",STUDENT ABSTRACT AND POSTER PROGRAM,representation
812,Using Graph-Aware Reinforcement Learning to Identify Winning Strategies in Diplomacy Games (Student Abstract),2022,AAAI,"Hansin Ahuja, Lynnette Ng, Kokil Jaidka",STUDENT ABSTRACT AND POSTER PROGRAM - FINALIST,reinforcement learning/graph
813,AnchorFace: Boosting TAR@FAR for Practical Face Recognition,2022,AAAI,"Jiaheng Liu, Haoyu Qin, Yichao Wu, Ding Liang",MAIN TRACK,
814,Coordinate Descent on the Orthogonal Group for Recurrent Neural Network Training,2022,AAAI,"Estelle Massart, Vinayak Abrol",MAIN TRACK,
815,Faster Algorithms for Weak Backdoors,2022,AAAI,"Serge Gaspers, Andrew Kaploun",MAIN TRACK,zero_few-shot
816,"""I Don’t Think So”: Summarizing Policy Disagreements for Agent Comparison",2022,AAAI,"Yotam Amitai, Ofra Amir",MAIN TRACK,reinforcement learning
817,C2L: Causally Contrastive Learning for Robust Text Classification,2022,AAAI,"Seungtaek Choi, Myeongho Jeong, Hojae Han, Seung-won Hwang",MAIN TRACK,contrastive learning
818,A Calculus for Computing Structured Justifications for Election Outcomes,2022,AAAI,"Arthur Boixel, Ulle Endriss, Ronald de Haan",MAIN TRACK,
819,Regularization Penalty Optimization for Addressing Data Quality Variance in OoD Algorithms,2022,AAAI,"Runpeng Yu, Hong Zhu, Kaican Li, Lanqing Hong, Rui Zhang, Nanyang Ye, Shao-Lun Huang, Xiuqiang He",MAIN TRACK,optimization
820,A Fully Single Loop Algorithm for Bilevel Optimization without Hessian Inverse,2022,AAAI,"Junyi Li, Bin Gu, Heng Huang",MAIN TRACK,optimization
821,Semi-Supervised Conditional Density Estimation with Wasserstein Laplacian Regularisation,2022,AAAI,"Olivier Graffeuille, Yun Sing Koh, Jörg Wicker, Moritz Lehmann",MAIN TRACK,
822,Guide Local Feature Matching by Overlap Estimation,2022,AAAI,"Ying Chen, Dihe Huang, Shang Xu, Jianlin Liu, Yong Liu",MAIN TRACK,
823,Wasserstein Adversarial Transformer for Cloud Workload Prediction,2022,AAAI,"Shivani Arbat, Vinod K. Jayakumar, Jaewoo Lee, Wei Wang, In Kee Kim",MAIN TRACK,transformer
824,Market Design for Drone Traffic Management,2022,AAAI,"Sven Seuken, Paul Friedrich, Ludwig Dierks",SENIOR MEMBER PRESENTATION TRACK - BLUE SKY,
825,OoDHDR-Codec: Out-of-Distribution Generalization for HDR Image Compression,2022,AAAI,"Linfeng Cao, Aofan Jiang, Wei Li, Huaying Wu, Nanyang Ye",MAIN TRACK,
826,Simple Unsupervised Graph Representation Learning,2022,AAAI,"Yujie Mo, Liang Peng, Jie Xu, Xiaoshuang Shi, Xiaofeng Zhu",MAIN TRACK,graph/representation
827,Data-Driven Real-Time Strategic Placement of Mobile Vaccine Distribution Sites,2022,AAAI,"Zakaria Mehrab, Mandy Wilson, Serina Chang, Galen Harrison, Bryan Lewis, Alex Telionis, Justin Crow, Dennis Kim, Scott Spillmann, Kate Peters, Jure Leskovec, Madhav V. Marathe",MAIN TRACK,
828,SepFusion: Finding Optimal Fusion Structures for Visual Sound Separation,2022,AAAI,"Dongzhan Zhou, Xinchi Zhou, Di Hu, Hang Zhou, Lei Bai, Ziwei Liu, Wanli Ouyang",MAIN TRACK,
829,Attribute-based Progressive Fusion Network for RGBT Tracking,2022,AAAI,"Yun Xiao, Mengmeng Yang, Chenglong Li, Lei Liu, Jin Tang",MAIN TRACK,
830,Gradient Flow in Sparse Neural Networks and How Lottery Tickets Win,2022,AAAI,"Utku Evci, Yann Dauphin, Yani Ioannou, Cem Keskin",MAIN TRACK,zero_few-shot/sparse/flow
831,AutoCFR: Learning to Design Counterfactual Regret Minimization Algorithms,2022,AAAI,"Hang Xu, Kai Li*, Haobo Fu, Qiang Fu, Junliang Xing",MAIN TRACK,
832,Towards an Effective Orthogonal Dictionary Convolution Strategy,2022,AAAI,"Yishi Li, Kunran Xu, Rui Lai, Lin Gu",MAIN TRACK,
833,Convolutional Neural Network Compression Through Generalized Kronecker Product Decomposition,2022,AAAI,"Marawan Gamal Abdel Hameed, Marzieh Tahaei, Ali Mosleh, Vahid Partovi Nia",MAIN TRACK,
834,Computing Diverse Shortest Paths Efficiently: A Theoretical and Experimental Study,2022,AAAI,"Tesshu Hanaka, Yasuaki Kobayashi, Kazuhiro Kurita, See Woo Lee, Yota Otachi",MAIN TRACK,
835,Predicting Above-Sentence Discourse Structure using Distant Supervision from Topic Segmentation,2022,AAAI,"Patrick Huber, Linzi Xing, Giuseppe Carenini",MAIN TRACK,segmentation
836,PEA*+IDA*: An Improved Hybrid Memory-Restricted Algorithm,2022,AAAI,"Frederico Messa, André Grahl Pereira",MAIN TRACK,
837,DocBed: A Multi-Stage OCR Solution for Documents with Complex Layouts,2022,AAAI,"Wenzhen Zhu, Negin Sokhandan, Guang Yang, Sujitha Martin, Suchitra Sathyanarayana",MAIN TRACK,
838,FisheyeHDK: Hyperbolic Deformable Kernel Learning for Ultra-Wide Field-of-View Image Recognition,2022,AAAI,"Ola Ahmad, Freddy Lecue",MAIN TRACK,
839,Contrast and Generation Make BART a Good Dialogue Emotion Recognizer,2022,AAAI,"Shimin Li, Hang Yan, Xipeng Qiu",MAIN TRACK,generative model
840,Context-Aware Transfer Attacks for Object Detection,2022,AAAI,"Zikui Cai, Xinxin Xie, Shasha Li, Mingjun Yin, Chengyu Song, Srikanth V. Krishnamurthy, Amit K. Roy-Chowdhury, M. Salman Asif",MAIN TRACK,transfer learning
841,The Complexity of Proportionality Degree in Committee Elections,2022,AAAI,"Łukasz Janeczko, Piotr Faliszewski",MAIN TRACK,
842,Game Balancing in Dominion: An Approach to Identifying Problematic Game Elements,2022,AAAI,"Cassandra Ford, Merrick Ohata",MAIN TRACK,
843,Efficiency of Ad Auctions with Price Displaying,2022,AAAI,"Matteo Castiglioni, Diodato Ferraioli, Nicola Gatti, Alberto Marchesi, Giulia Romano",MAIN TRACK,
844,Context Uncertainty in Contextual Bandits with Applications to Recommender Systems,2022,AAAI,"Hao Wang, Yifei Ma, Hao Ding, Yuyang Wang",MAIN TRACK,
845,Q-Ball: Modeling Basketball Games Using Deep Reinforcement Learning,2022,AAAI,"Chen Yanai, Adir Solomon, Gilad Katz, Bracha Shapira, Lior Rokach",MAIN TRACK,reinforcement learning
846,Weakly Supervised Video Moment Localization with Contrastive Negative Sample Mining,2022,AAAI,"Minghang Zheng, Yanjie Huang, Yang Liu, Qingchao Chen",MAIN TRACK,zero_few-shot/contrastive learning
847,Zero-Shot Commonsense Question Answering with Cloze Translation and Consistency Optimization,2022,AAAI,"Zi-Yi Dou, Nanyun (Violet) Peng",MAIN TRACK,optimization/zero_few-shot
848,Safe Subgame Resolving for Extensive Form Correlated Equilibrium,2022,AAAI,"Chun Kai Ling, Fei Fang",MAIN TRACK,
849,Renovate Yourself: Calibrating Feature Representation of Misclassified Pixels for Semantic Segmentation,2022,AAAI,"Hualiang Wang, Huanpeng Chu, Siming FU, Zuozhu Liu, Haoji Hu",MAIN TRACK,representation/segmentation
850,Diagnostics-Guided Explanation Generation,2022,AAAI,"Pepa Atanasova, Jakob Grue Simonsen, Christina Lioma, Isabelle Augenstein",MAIN TRACK,generative model
851,Is There a Strongest Die in a Set of Dice with the Same Mean Pips?,2022,AAAI,"Shang Lu, Shuji Kijima",MAIN TRACK,
852,Play the Shannon Game With Language Models: A Human-Free Approach to Summary Evaluation,2022,AAAI,"Nicholas Egan, Oleg Vasilyev, John Bohannon",MAIN TRACK,
853,Learning the Optimal Recommendation from Explorative Users,2022,AAAI,"Fan Yao, Chuanhao Li, Denis Nekipelov, Hongning Wang, Haifeng Xu",MAIN TRACK,
854,Using Multimodal Data and AI to Dynamically Map Flood Risk,2022,AAAI,Lydia Bryan-Smith,DOCTORAL CONSORTIUM,multimodal
855,Deploying an Artificial Intelligence Application to Detect Flood from Sentinel 1 Data,2022,AAAI,"Paolo Fraccaro, Nikola Stoyanov, Zaheed Gaffoor, Laura Elena Cue La Rosa, Jitendra Singh, Tatsuya Ishikawa, Blair Edwards, Anne Jones, Komminist Weldermariam",SENIOR MEMBER PRESENTATION TRACK - SUMMARY,
856,Heterogeneity-Aware Twitter Bot Detection with Relational Graph Transformers,2022,AAAI,"Shangbin Feng, Zhaoxuan Tan, Rui Li, Minnan Luo",MAIN TRACK,graph/transformer
857,NICE: Robust Scheduling through Reinfrocement Learning-Guided Integer Programming,2022,AAAI,"Luke Kenworthy, Siddharth Nayak, Christopher Chin, Hamsa Balakrishnan",MAIN TRACK,
858,Learning Mixture of Domain-Specific Experts via Disentangled Factors for Autonomous Driving,2022,AAAI,"Inhan Kim, Joonyeong Lee, Daijin Kim",MAIN TRACK,
859,Self-Supervised Knowledge Assimilation for Expert-Layman Text Style Transfer,2022,AAAI,"Wenda Xu, Michael Saxon, Misha Sra, William Yang Wang",MAIN TRACK,zero_few-shot/transfer learning
860,Combating Collusion Rings is Hard but Possible,2022,AAAI,"Niclas Boehmer, Robert Bredereck, André Nichterlein",MAIN TRACK,
861,Debiasing NLU Models via Causal Intervention and Counterfactual Reasoning,2022,AAAI,"Bing Tian, Yixin Cao, Yong Zhang, Chunxiao Xing",MAIN TRACK,
862,Truthful Cake Sharing,2022,AAAI,"Xiaohui Bei, Xinhang Lu, Warut Suksompong",MAIN TRACK,
863,On the Practical Robustness of the Nesterov‚Äôs Accelerated Quasi-Newton Method,2022,AAAI,"Indrapriyadarsini Sendilkkumaar, Hiroshi Ninomiya, Takeshi Kamio, Hideki Asai",DOCTORAL CONSORTIUM,
864,P^3-Net: Part Mobility Parsing from Point Cloud Sequences via Learning Explicit Point Correspondence,2022,AAAI,"Yahao Shi, Xinyu Cao, Feixiang Lu, Bin Zhou",MAIN TRACK,
865,DANets: Deep Abstract Networks for Tabular Data Classification and Regression,2022,AAAI,"Jintai Chen, KuanLun Liao, Yao Wan, Danny Z Chen, Jian Wu",MAIN TRACK,
866,Sparse Cross-Scale Attention Network for Efficient LiDAR Panoptic Segmentation,2022,AAAI,"Shuangjie Xu, Rui Wan, Maosheng Ye, Xiaoyi Zou, Tongyi Cao",MAIN TRACK,transformer/sparse/segmentation
867,Molecular Contrastive Learning with Chemical Element Knowledge Graph,2022,AAAI,"Yin Fang, Qiang Zhang, Haihong Yang, Xiang Zhuang, Shumin Deng, Wen Zhang, Ming Qin, Zhuo Chen, Xiaohui Fan, Huajun Chen",MAIN TRACK,graph/contrastive learning
868,Analysis of Pure Literal Elimination Rule for Non-Uniform Random (MAX) k-SAT Problem with an Arbitrary Degree Distribution,2022,AAAI,"Oleksii Omelchenko, Andrei A. Bulatov",MAIN TRACK,
869,Invariant Action Effect Model for Reinforcement Learning,2022,AAAI,"Zhengmao Zhu, Shengyi Jiang, Yu-Ren Liu, Yang Yu, Kun Zhang",MAIN TRACK,reinforcement learning
870,DISTREAL: Distributed Resource-Aware Learning in Heterogeneous Systems,2022,AAAI,"Martin Rapp, Ramin Khalili, Kilian Pfeiffer, Jörg Henkel",MAIN TRACK,
871,"Shard Systems: Scalable, Robust and Persistent Multi-Agent Path Finding with Performance Guarantees",2022,AAAI,"Christopher Leet, Jiaoyang Li, Sven Koenig",MAIN TRACK,reinforcement learning/multi-agent
872,Perceptual Quality Assessment of Omnidirectional Images,2022,AAAI,"Yuming Fang, Liping Huang, Jiebin Yan, Xuelin Liu, Yang Liu",MAIN TRACK,
873,ReMoNet: Recurrent Multi-Output Network for Efficient Video Denoising,2022,AAAI,"Liuyu Xiang, Jundong Zhou, Jirui Liu, Zerun Wang, Haidong Huang, Jie Hu, Jungong Han, Yuchen Guo, Guiguang Ding",MAIN TRACK,
874,Robust Graph-Based Multi-View Clustering,2022,AAAI,"Weixuan Liang, Xinwang Liu, Sihang Zhou, Jiyuan Liu, Siwei Wang, En Zhu",MAIN TRACK,graph/multi-view
875,Constraint Sampling Reinforcement Learning: Incorporating Expertise For Faster Learning,2022,AAAI,"Tong Mu, Georgios Theocharous, David Arbour, Emma Brunskill",MAIN TRACK,reinforcement learning/optimization
876,ErfAct and Pserf: Non-Monotonic Smooth Trainable Activation Functions,2022,AAAI,"Koushik Biswas, Sandeep Kumar, Shilpak Banerjee, Ashish Kumar Pandey",MAIN TRACK,
877,Tracing Text Provenance via Context-Aware Lexical Substitution,2022,AAAI,"Xi Yang, Jie Zhang, Kejiang Chen, Weiming Zhang, Zehua Ma, Feng Wang, Nenghai Yu",MAIN TRACK,
878,Modeling Attrition in Recommender Systems with Departing Bandits,2022,AAAI,"Omer Ben-Porat, Lee Cohen, Liu Leqi, Zachary C. Lipton, Yishay Mansour",MAIN TRACK,
879,VACA: Designing Variational Graph Autoencoders for Causal Queries,2022,AAAI,"Pablo Sanchez-Martin, Miriam Rateike, Isabel Valera",MAIN TRACK,graph
880,AutoBERT-Zero: Evolving BERT Backbone from Scratch,2022,AAAI,"Jiahui Gao, Hang Xu, Han Shi, Xiaozhe Ren, Philip L. H. Yu, Xiaodan Liang, Xin Jiang, Zhenguo Li",MAIN TRACK,transformer
881,DeepQR: Neural-Based Quality Ratings for Learnersourced Multiple-Choice Questions,2022,AAAI,"Lin Ni, Qiming Bao, Xiaoxuan Li, Qianqian Qi, Paul Denny, Jim Warren, Michael Witbrock, Jiamou Liu",MAIN TRACK,
882,Mastering the Explicit Opinion-Role Interaction: Syntax-Aided Neural Transition System for Unified Opinion Role Labeling,2022,AAAI,"Shengqiong Wu, Hao Fei, Fei Li, Meishan Zhang, Yijiang Liu, Chong Teng, Donghong Ji",MAIN TRACK,
883,Shape Prior Guided Attack: Sparser Perturbations on 3D Point Clouds,2022,AAAI,"Zhenbo Shi, Zhi Chen, Zhenbo Xu, Wei Yang, Zhidong Yu, Liusheng Huang",MAIN TRACK,sparse
884,Input-Specific Robustness Certification for Randomized Smoothing,2022,AAAI,"Ruoxin Chen, Jie Li, Junchi Yan, Ping Li, Bin Sheng",MAIN TRACK,
885,Uncertainty Estimation via Response Scaling for Pseudo-Mask Noise Mitigation in Weakly-Supervised Semantic Segmentation,2022,AAAI,"Yi Li, Yiqun Duan, Zhanghui Kuang, Yimin Chen, Wayne Zhang, Xiaomeng Li",MAIN TRACK,zero_few-shot/transformer/segmentation
886,AdaptivePose: Human Parts as Adaptive Points,2022,AAAI,"Yabo Xiao, Xiao Juan Wang, Dongdong Yu, Guoli Wang, Qian Zhang, Mingshu HE",MAIN TRACK,adaptive
887,Towards Fine-Grained Reasoning for Fake News Detection,2022,AAAI,"Yiqiao Jin, Xiting Wang, Ruichao Yang, Yizhou Sun, Wei Wang, Hao Liao, Xing Xie",MAIN TRACK,
888,Word Level Robustness Enhancement: Fight Perturbation with Perturbation,2022,AAAI,"Pei Huang, Yuting Yang, Fuqi Jia, Minghao Liu, FeiFei Ma, Jian Zhang",MAIN TRACK,
889,Low-Pass Graph Convolutional Network for Recommendation,2022,AAAI,"Wenhui Yu, Zixin Zhang, Zheng Qin",MAIN TRACK,graph/zero_few-shot
890,Rendering-Aware HDR Environment Map Prediction From a Single Image,2022,AAAI,"Jun-Peng Xu, Chen-Yu Zuo, Fang-Lue Zhang, Miao Wang",MAIN TRACK,
891,DeepStochLog: Neural Stochastic Logic Programming,2022,AAAI,"Thomas Winters, Giuseppe Marra, Robin Manhaeve, Luc De Raedt",MAIN TRACK,
892,Recovering The Propensity Score From Biased Positive Unlabeled Data,2022,AAAI,"Walter Gerych, Thomas Hartvigsen, Luke Buquicchio, Emmanuel Agu, Elke Rundensteiner",MAIN TRACK,
893,Learngene: From Open-World to Your Learning Task,2022,AAAI,"Qiufeng Wang, Xin Geng, Shuxia Lin, Shiyu Xia, Lei Qi, Ning Xu",MAIN TRACK,
894,The Strange Role of Information Asymmetry in Auctions --- Does More Accurate Value Estimation Benefit A Bidder?,2022,AAAI,"Haifeng Xu, Ruggiero Cavallo",MAIN TRACK,
895,Rushing and Strolling among Answer Sets - Navigation Made Easy,2022,AAAI,"Johannes Klaus Fichte, Sarah Alice Gaggl, Dominik Rusovac",MAIN TRACK,
896,Heterogeneous Peer Effects in the Linear Threshold Model,2022,AAAI,"Christopher Tran, Elena Zheleva",MAIN TRACK,
897,Reforming an Envy-Free Matching,2022,AAAI,"Takehiro Ito, Yuni Iwamasa, Naonori Kakimura, Naoyuki Kamiyama, Yusuke Kobayashi, Yuta Nozaki, Yoshio Okamoto, Kenta Ozeki",MAIN TRACK,
898,How Private Is Your RL Policy? An Inverse RL Based Analysis Framework,2022,AAAI,"Kritika Prakash, Fiza Husain, Praveen Paruchuri, Sujit Gujar",MAIN TRACK,
899,Strictly Proper Contract Functions Can Be Arbitrage-Free,2022,AAAI,"Eric Neyman, Tim Roughgarden",MAIN TRACK,
900,Provable Guarantees for Understanding Out-of-distribution Detection,2022,AAAI,"Peyman Morteza, Yixuan Li",MAIN TRACK,
901,Participatory Machine Learning Models in Feminicide News Alert Detection,2022,AAAI,Amelia L Dogan,UNDERGRADUATE CONSORTIUM,
902,Bounding Quality in Diverse Planning,2022,AAAI,"Michael Katz, Shirin Sohrabi, Octavian Udrea",MAIN TRACK,
903,Making Translations to Classical Planning Competitive With Other HTN Planners,2022,AAAI,"Gregor Behnke, Florian Pollitt, Daniel Höller, Pascal Bercher, Ron Alford",MAIN TRACK,
904,A Divide and Conquer Algorithm for Predict+Optimize with Non-Convex Problems,2022,AAAI,"Ali Ugur Guler, Emir Demirovic, Jeffrey Chan, James Bailey, Christopher Leckie, Peter J. Stuckey",MAIN TRACK,
905,Un-Mix: Rethinking Image Mixtures for Unsupervised Visual Representation Learning,2022,AAAI,"Zhiqiang Shen, Zechun Liu, Zhuang Liu, Marios Savvides, Trevor Darrell, Eric Xing",MAIN TRACK,representation
906,Handwritten Mathematical Expression Recognition via Attention Aggregation based Bi-Directional Mutual Learning,2022,AAAI,"Xiaohang Bian, Bo Qin, Xiaozhe Xin, Jianwu Li, Xuefeng Su, Yanfeng Wang",MAIN TRACK,transformer
907,Tractable Abstract Argumentation via Backdoor-Treewidth,2022,AAAI,"Wolfgang Dvořak, Markus Hecher, Matthias König, André Schidler, Stefan Szeider, Stefan Woltran",MAIN TRACK,
908,Model AI Assignments 2022,2022,AAAI,"Todd Neller, Jazmin Collins, Daniel Schneider, Yim Register, Christopher Brooks, Chiawei Tang, , Roozbeh Aliabadi, Annabel Hasty, Sultan Albarakati, Haotian Fang, Harvey Yin,",DOCTORAL CONSORTIUM,
909,CrossWalk: Fairness-Enhanced Node Representation Learning,2022,AAAI,"Ahmad Khajehnejad, Moein Khajehnejad, Mahmoudreza Babaei, Krishna P. Gummadi, Adrian Weller, Baharan Mirzasoleiman",AI FOR SOCIAL IMPACT TRACK,representation
910,Language Model Priming for Cross-Lingual Event Extraction,2022,AAAI,"Steven Fincke, Shantanu Agarwal, Scott Miller, Elizabeth Boschee",MAIN TRACK,
911,A Causal Inference Look At Unsupervised Video Anomaly Detection,2022,AAAI,"Xiangru Lin, Yuyang Chen, Guanbin Li, Yizhou Yu",MAIN TRACK,inference
912,Anisotropic Additive Quantization for Fast Inner Product Search,2022,AAAI,"Jin Zhang, Qi Liu, Defu Lian, Zheng Liu, Le Wu, Enhong Chen",MAIN TRACK,
913,Boosting Generative Zero-Shot Learning by Synthesizing Diverse Features with Attribute Augmentation,2022,AAAI,"Xiaojie Zhao, Yuming Shen, Shidong Wang, Haofeng Zhang",MAIN TRACK,zero_few-shot/generative model/augmentation
914,"Explain, Edit, and Understand: Rethinking User Study Design for Evaluating Model Explanations",2022,AAAI,"Siddhant Arora, Danish Pruthi, Norman Sadeh, William W. Cohen, Zachary C. Lipton, Graham Neubig",MAIN TRACK,
915,Early-Bird GCNs: Graph-Network Co-Optimization Towards More Efficient GCN Training and Inference via Drawing Early-Bird Lottery Tickets,2022,AAAI,"Haoran You, Zhihan Lu, Zijian Zhou, Yonggan Fu, Yingyan Lin",MAIN TRACK,graph/optimization/inference
