,Title,Year,Source,Authors,Class,topic
456,Correlation Field for Boosting 3D Object Detection in Structured Scenes,2022,AAAI,"Jianhua Sun, Hao-Shu Fang, Xianghui Zhu, Jiefeng Li, Cewu Lu",MAIN TRACK,
457,Multi-Knowledge Aggregation and Transfer for Semantic Segmentation,2022,AAAI,"Yuang Liu, Wei Zhang, Jun Wang",MAIN TRACK,transfer learning/segmentation
458,A Fusion-Denoising Attack on InstaHide with Data Augmentation,2022,AAAI,"Xinjian Luo, Xiaokui Xiao, Yuncheng Wu, Juncheng Liu, Beng Chin Ooi",MAIN TRACK,augmentation
459,Bayesian Model-Based Offline Reinforcement Learning for Product Allocation,2022,AAAI,"Porter Jenkins, Hua Wei, J. Stockton Jenkins, Jessie Li",MAIN TRACK,reinforcement learning/bayesian
460,Model-Based Image Signal Processors via Learnable Dictionaries,2022,AAAI,"Marcos V. Conde, Steven McDonagh, Matteo Maggioni, Aleš Leonardis, Eduardo Pérez-Pellitero",MAIN TRACK,
461,Multi-Scale Distillation from Multiple Graph Neural Networks,2022,AAAI,"Chunhai Zhang, Jie Liu, Kai Dang, Wenzheng Zhang",MAIN TRACK,graph/distillation
462,Geometry-Contrastive Transformer for Generalized 3D Pose Transfer,2022,AAAI,"Haoyu Chen, Hao Tang, Zitong Yu, Nicu Sebe, Guoying Zhao",MAIN TRACK,transformer/contrastive learning/transfer learning
463,PantheonRL: A MARL Library for Dynamic Training Interactions,2022,AAAI,"Bidipta Sarkar, Aditi Talati, Andy Shih, Dorsa Sadigh",DEMONSTRATIONS,
464,Learning Universal Adversarial Perturbation by Adversarial Example,2022,AAAI,"Maosen Li, Yanhua Yang, Kun Wei, Xu Yang, Heng Huang",MAIN TRACK,
465,Delving into Probabilistic Uncertainty for Unsupervised Domain Adaptive Person Re-Identification,2022,AAAI,"Jian Han, Yali Li, Shengjin Wang",MAIN TRACK,adaptive
466,Synthesis from Satisficing and Temporal Goals,2022,AAAI,"Suguman Bansal, Lydia Kavraki, Moshe Y. Vardi, Andrew Wells",MAIN TRACK,
467,Semantically Contrastive Learning for Low-Light Image Enhancement,2022,AAAI,"Dong Liang, Ling Li, Mingqiang Wei, Shuo Yang, Liyan Zhang, Wenhan Yang, Yun Du, Huiyu Zhou",MAIN TRACK,zero_few-shot/contrastive learning
468,Self-Supervised Pretraining for RGB-D Salient Object Detection,2022,AAAI,"Xiaoqi Zhao, Youwei Pang, Lihe Zhang, Huchuan Lu, Xiang Ruan",MAIN TRACK,zero_few-shot
469,Stackelberg Actor-Critic: Game-Theoretic Reinforcement Learning Algorithms,2022,AAAI,"Liyuan Zheng, Tanner Fiez, Zane Alumbaugh, Benjamin Chasnov, Lillian J. Ratliff",MAIN TRACK,reinforcement learning
470,Divide-and-Regroup Clustering for Domain Adaptive Person Re-Identification,2022,AAAI,"Zhengdong Hu, Yifan Sun, Yi Yang, Jianguang Zhou",MAIN TRACK,adaptive
471,On Improving Resource Allocations by Sharing,2022,AAAI,"Robert Bredereck, Andrzej Kaczmarczyk, Junjie Luo, Rolf Niedermeier, Florian Sachse",MAIN TRACK,
472,SimIPU: Simple 2D Image and 3D Point Cloud Unsupervised Pre-Training for Spatial-Aware Visual Representations,2022,AAAI,"Zhenyu Li, Zehui Chen, Ang Li, Liangji Fang, Qinhong Jiang, Xianming Liu, Junjun Jiang, Bolei Zhou, Hang Zhao",MAIN TRACK,representation
473,ISEEQ: Information Seeking Question Generation using Dynamic Meta-Information Retrieval and Knowledge Graphs,2022,AAAI,"Manas Gaur, Kalpa Gunaratna, Vijay Srinivasan, Hongxia Jin",MAIN TRACK,graph/generative model/meta-learning
474,SpikeConverter: An Efficient Conversion Framework Zipping the Gap between Artificial Neural Networks and Spiking Neural Networks,2022,AAAI,"Fangxin Liu, Wenbo Zhao, Yongbiao Chen, Zongwu Wang, Li Jiang",MAIN TRACK,
475,Trusted Multi-View Deep Learning with Opinion Aggregation,2022,AAAI,"Wei Liu, Xiaodong Yue, Yufei Chen, Thierry Denoeux",MAIN TRACK,multi-view
476,Do Feature Attribution Methods Correctly Attribute Features?,2022,AAAI,"Yilun Zhou, Serena Booth, Marco Tulio Ribeiro, Julie Shah",MAIN TRACK,
477,Local and Global Linear Convergence of General Low-Rank Matrix Recovery Problems,2022,AAAI,"Yingjie Bi, Haixiang Zhang, Javad Lavaei",MAIN TRACK,zero_few-shot/low-rank
478,Robust and Resource-Efficient Data-Free Knowledge Distillation by Generative Pseudo Replay,2022,AAAI,"Kuluhan Binici, Shivam Aggarwal, Nam Trung Pham, Karianto Leman, Tulika Mitra",MAIN TRACK,generative model/distillation
479,KID-Review: Knowledge-Guided Scientific Review Generation with Oracle Pre-Training,2022,AAAI,"Weizhe Yuan, Pengfei Liu",MAIN TRACK,generative model
480,CL-NERIL: A Cross-Lingual Model for NER in Indian Languages (Student Abstract),2022,AAAI,"Akshara Prabhakar, Gouri Sankar Majumder, Ashish Anand",STUDENT ABSTRACT AND POSTER PROGRAM,
481,ShuttleNet: Position-Aware Fusion of Rally Progress and Player Styles for Stroke Forecasting in Badminton,2022,AAAI,"Wei-Yao Wang, Hong-Han Shuai, Kai-Shiang Chang, Wen-Chih Peng",MAIN TRACK,
482,Invariant Information Bottleneck for Domain Generalization,2022,AAAI,"Bo Li, Yifei Shen, Yezhen Wang, Wenzhen Zhu, Colorado J Reed, Dongsheng Li, Kurt Keutzer, Han Zhao",MAIN TRACK,
483,Search Strategies for Topological Network Optimization,2022,AAAI,Michael D Moffitt,MAIN TRACK,optimization
484,Recursive Reasoning Graph for Multi-Agent Reinforcement Learning,2022,AAAI,"Xiaobai Ma, David Isele, Jayesh K. Gupta, Kikuo Fujimura, Mykel J. Kochenderfer",MAIN TRACK,reinforcement learning/graph/multi-agent
485,Hierarchical Image Generation via Transformer-Based Sequential Patch Selection,2022,AAAI,"Xiaogang XU, Ning Xu",MAIN TRACK,transformer/generative model
486,Class-Wise Adaptive Self Distillation for Federated Learning on Non-IID Data (Student Abstract),2022,AAAI,"Yuting He, Yiqiang Chen, Xiaodong Yang, Yingwei Zhang, Bixiao Zeng",STUDENT ABSTRACT AND POSTER PROGRAM,adaptive/federated learning/distillation
