Title,Year,Source,Authors,Class
Q-Ball: Modeling Basketball Games Using Deep Reinforcement Learning,2022,AAAI,"Chen Yanai, Adir Solomon, Gilad Katz, Bracha Shapira, Lior Rokach",MAIN TRACK
Weakly Supervised Video Moment Localization with Contrastive Negative Sample Mining,2022,AAAI,"Minghang Zheng, Yanjie Huang, Yang Liu, Qingchao Chen",MAIN TRACK
Zero-Shot Commonsense Question Answering with Cloze Translation and Consistency Optimization,2022,AAAI,"Zi-Yi Dou, Nanyun (Violet) Peng",MAIN TRACK
Safe Subgame Resolving for Extensive Form Correlated Equilibrium,2022,AAAI,"Chun Kai Ling, Fei Fang",MAIN TRACK
Renovate Yourself: Calibrating Feature Representation of Misclassified Pixels for Semantic Segmentation,2022,AAAI,"Hualiang Wang, Huanpeng Chu, Siming FU, Zuozhu Liu, Haoji Hu",MAIN TRACK
Diagnostics-Guided Explanation Generation,2022,AAAI,"Pepa Atanasova, Jakob Grue Simonsen, Christina Lioma, Isabelle Augenstein",MAIN TRACK
Is There a Strongest Die in a Set of Dice with the Same Mean Pips?,2022,AAAI,"Shang Lu, Shuji Kijima",MAIN TRACK
Play the Shannon Game With Language Models: A Human-Free Approach to Summary Evaluation,2022,AAAI,"Nicholas Egan, Oleg Vasilyev, John Bohannon",MAIN TRACK
Learning the Optimal Recommendation from Explorative Users,2022,AAAI,"Fan Yao, Chuanhao Li, Denis Nekipelov, Hongning Wang, Haifeng Xu",MAIN TRACK
Using Multimodal Data and AI to Dynamically Map Flood Risk,2022,AAAI,Lydia Bryan-Smith,DOCTORAL CONSORTIUM
Deploying an Artificial Intelligence Application to Detect Flood from Sentinel 1 Data,2022,AAAI,"Paolo Fraccaro, Nikola Stoyanov, Zaheed Gaffoor, Laura Elena Cue La Rosa, Jitendra Singh, Tatsuya Ishikawa, Blair Edwards, Anne Jones, Komminist Weldermariam",SENIOR MEMBER PRESENTATION TRACK - SUMMARY
Heterogeneity-Aware Twitter Bot Detection with Relational Graph Transformers,2022,AAAI,"Shangbin Feng, Zhaoxuan Tan, Rui Li, Minnan Luo",MAIN TRACK
NICE: Robust Scheduling through Reinfrocement Learning-Guided Integer Programming,2022,AAAI,"Luke Kenworthy, Siddharth Nayak, Christopher Chin, Hamsa Balakrishnan",MAIN TRACK
Learning Mixture of Domain-Specific Experts via Disentangled Factors for Autonomous Driving,2022,AAAI,"Inhan Kim, Joonyeong Lee, Daijin Kim",MAIN TRACK
Self-Supervised Knowledge Assimilation for Expert-Layman Text Style Transfer,2022,AAAI,"Wenda Xu, Michael Saxon, Misha Sra, William Yang Wang",MAIN TRACK
Combating Collusion Rings is Hard but Possible,2022,AAAI,"Niclas Boehmer, Robert Bredereck, André Nichterlein",MAIN TRACK
Debiasing NLU Models via Causal Intervention and Counterfactual Reasoning,2022,AAAI,"Bing Tian, Yixin Cao, Yong Zhang, Chunxiao Xing",MAIN TRACK
Truthful Cake Sharing,2022,AAAI,"Xiaohui Bei, Xinhang Lu, Warut Suksompong",MAIN TRACK
On the Practical Robustness of the Nesterov‚Äôs Accelerated Quasi-Newton Method,2022,AAAI,"Indrapriyadarsini Sendilkkumaar, Hiroshi Ninomiya, Takeshi Kamio, Hideki Asai",DOCTORAL CONSORTIUM
P^3-Net: Part Mobility Parsing from Point Cloud Sequences via Learning Explicit Point Correspondence,2022,AAAI,"Yahao Shi, Xinyu Cao, Feixiang Lu, Bin Zhou",MAIN TRACK
DANets: Deep Abstract Networks for Tabular Data Classification and Regression,2022,AAAI,"Jintai Chen, KuanLun Liao, Yao Wan, Danny Z Chen, Jian Wu",MAIN TRACK
Sparse Cross-Scale Attention Network for Efficient LiDAR Panoptic Segmentation,2022,AAAI,"Shuangjie Xu, Rui Wan, Maosheng Ye, Xiaoyi Zou, Tongyi Cao",MAIN TRACK
Molecular Contrastive Learning with Chemical Element Knowledge Graph,2022,AAAI,"Yin Fang, Qiang Zhang, Haihong Yang, Xiang Zhuang, Shumin Deng, Wen Zhang, Ming Qin, Zhuo Chen, Xiaohui Fan, Huajun Chen",MAIN TRACK
Analysis of Pure Literal Elimination Rule for Non-Uniform Random (MAX) k-SAT Problem with an Arbitrary Degree Distribution,2022,AAAI,"Oleksii Omelchenko, Andrei A. Bulatov",MAIN TRACK
Invariant Action Effect Model for Reinforcement Learning,2022,AAAI,"Zhengmao Zhu, Shengyi Jiang, Yu-Ren Liu, Yang Yu, Kun Zhang",MAIN TRACK
DISTREAL: Distributed Resource-Aware Learning in Heterogeneous Systems,2022,AAAI,"Martin Rapp, Ramin Khalili, Kilian Pfeiffer, Jörg Henkel",MAIN TRACK
"Shard Systems: Scalable, Robust and Persistent Multi-Agent Path Finding with Performance Guarantees",2022,AAAI,"Christopher Leet, Jiaoyang Li, Sven Koenig",MAIN TRACK
Perceptual Quality Assessment of Omnidirectional Images,2022,AAAI,"Yuming Fang, Liping Huang, Jiebin Yan, Xuelin Liu, Yang Liu",MAIN TRACK
ReMoNet: Recurrent Multi-Output Network for Efficient Video Denoising,2022,AAAI,"Liuyu Xiang, Jundong Zhou, Jirui Liu, Zerun Wang, Haidong Huang, Jie Hu, Jungong Han, Yuchen Guo, Guiguang Ding",MAIN TRACK
Robust Graph-Based Multi-View Clustering,2022,AAAI,"Weixuan Liang, Xinwang Liu, Sihang Zhou, Jiyuan Liu, Siwei Wang, En Zhu",MAIN TRACK
Constraint Sampling Reinforcement Learning: Incorporating Expertise For Faster Learning,2022,AAAI,"Tong Mu, Georgios Theocharous, David Arbour, Emma Brunskill",MAIN TRACK
ErfAct and Pserf: Non-Monotonic Smooth Trainable Activation Functions,2022,AAAI,"Koushik Biswas, Sandeep Kumar, Shilpak Banerjee, Ashish Kumar Pandey",MAIN TRACK
Tracing Text Provenance via Context-Aware Lexical Substitution,2022,AAAI,"Xi Yang, Jie Zhang, Kejiang Chen, Weiming Zhang, Zehua Ma, Feng Wang, Nenghai Yu",MAIN TRACK
Modeling Attrition in Recommender Systems with Departing Bandits,2022,AAAI,"Omer Ben-Porat, Lee Cohen, Liu Leqi, Zachary C. Lipton, Yishay Mansour",MAIN TRACK
VACA: Designing Variational Graph Autoencoders for Causal Queries,2022,AAAI,"Pablo Sanchez-Martin, Miriam Rateike, Isabel Valera",MAIN TRACK
AutoBERT-Zero: Evolving BERT Backbone from Scratch,2022,AAAI,"Jiahui Gao, Hang Xu, Han Shi, Xiaozhe Ren, Philip L. H. Yu, Xiaodan Liang, Xin Jiang, Zhenguo Li",MAIN TRACK
DeepQR: Neural-Based Quality Ratings for Learnersourced Multiple-Choice Questions,2022,AAAI,"Lin Ni, Qiming Bao, Xiaoxuan Li, Qianqian Qi, Paul Denny, Jim Warren, Michael Witbrock, Jiamou Liu",MAIN TRACK
Mastering the Explicit Opinion-Role Interaction: Syntax-Aided Neural Transition System for Unified Opinion Role Labeling,2022,AAAI,"Shengqiong Wu, Hao Fei, Fei Li, Meishan Zhang, Yijiang Liu, Chong Teng, Donghong Ji",MAIN TRACK
Shape Prior Guided Attack: Sparser Perturbations on 3D Point Clouds,2022,AAAI,"Zhenbo Shi, Zhi Chen, Zhenbo Xu, Wei Yang, Zhidong Yu, Liusheng Huang",MAIN TRACK
Input-Specific Robustness Certification for Randomized Smoothing,2022,AAAI,"Ruoxin Chen, Jie Li, Junchi Yan, Ping Li, Bin Sheng",MAIN TRACK
Uncertainty Estimation via Response Scaling for Pseudo-Mask Noise Mitigation in Weakly-Supervised Semantic Segmentation,2022,AAAI,"Yi Li, Yiqun Duan, Zhanghui Kuang, Yimin Chen, Wayne Zhang, Xiaomeng Li",MAIN TRACK
AdaptivePose: Human Parts as Adaptive Points,2022,AAAI,"Yabo Xiao, Xiao Juan Wang, Dongdong Yu, Guoli Wang, Qian Zhang, Mingshu HE",MAIN TRACK
Towards Fine-Grained Reasoning for Fake News Detection,2022,AAAI,"Yiqiao Jin, Xiting Wang, Ruichao Yang, Yizhou Sun, Wei Wang, Hao Liao, Xing Xie",MAIN TRACK
Word Level Robustness Enhancement: Fight Perturbation with Perturbation,2022,AAAI,"Pei Huang, Yuting Yang, Fuqi Jia, Minghao Liu, FeiFei Ma, Jian Zhang",MAIN TRACK
Low-Pass Graph Convolutional Network for Recommendation,2022,AAAI,"Wenhui Yu, Zixin Zhang, Zheng Qin",MAIN TRACK
Rendering-Aware HDR Environment Map Prediction From a Single Image,2022,AAAI,"Jun-Peng Xu, Chen-Yu Zuo, Fang-Lue Zhang, Miao Wang",MAIN TRACK
DeepStochLog: Neural Stochastic Logic Programming,2022,AAAI,"Thomas Winters, Giuseppe Marra, Robin Manhaeve, Luc De Raedt",MAIN TRACK
Recovering The Propensity Score From Biased Positive Unlabeled Data,2022,AAAI,"Walter Gerych, Thomas Hartvigsen, Luke Buquicchio, Emmanuel Agu, Elke Rundensteiner",MAIN TRACK
Learngene: From Open-World to Your Learning Task,2022,AAAI,"Qiufeng Wang, Xin Geng, Shuxia Lin, Shiyu Xia, Lei Qi, Ning Xu",MAIN TRACK
The Strange Role of Information Asymmetry in Auctions --- Does More Accurate Value Estimation Benefit A Bidder?,2022,AAAI,"Haifeng Xu, Ruggiero Cavallo",MAIN TRACK
Rushing and Strolling among Answer Sets - Navigation Made Easy,2022,AAAI,"Johannes Klaus Fichte, Sarah Alice Gaggl, Dominik Rusovac",MAIN TRACK
Heterogeneous Peer Effects in the Linear Threshold Model,2022,AAAI,"Christopher Tran, Elena Zheleva",MAIN TRACK
Reforming an Envy-Free Matching,2022,AAAI,"Takehiro Ito, Yuni Iwamasa, Naonori Kakimura, Naoyuki Kamiyama, Yusuke Kobayashi, Yuta Nozaki, Yoshio Okamoto, Kenta Ozeki",MAIN TRACK
How Private Is Your RL Policy? An Inverse RL Based Analysis Framework,2022,AAAI,"Kritika Prakash, Fiza Husain, Praveen Paruchuri, Sujit Gujar",MAIN TRACK
Strictly Proper Contract Functions Can Be Arbitrage-Free,2022,AAAI,"Eric Neyman, Tim Roughgarden",MAIN TRACK
Provable Guarantees for Understanding Out-of-distribution Detection,2022,AAAI,"Peyman Morteza, Yixuan Li",MAIN TRACK
Participatory Machine Learning Models in Feminicide News Alert Detection,2022,AAAI,Amelia L Dogan,UNDERGRADUATE CONSORTIUM
Bounding Quality in Diverse Planning,2022,AAAI,"Michael Katz, Shirin Sohrabi, Octavian Udrea",MAIN TRACK
Making Translations to Classical Planning Competitive With Other HTN Planners,2022,AAAI,"Gregor Behnke, Florian Pollitt, Daniel Höller, Pascal Bercher, Ron Alford",MAIN TRACK
A Divide and Conquer Algorithm for Predict+Optimize with Non-Convex Problems,2022,AAAI,"Ali Ugur Guler, Emir Demirovic, Jeffrey Chan, James Bailey, Christopher Leckie, Peter J. Stuckey",MAIN TRACK
Un-Mix: Rethinking Image Mixtures for Unsupervised Visual Representation Learning,2022,AAAI,"Zhiqiang Shen, Zechun Liu, Zhuang Liu, Marios Savvides, Trevor Darrell, Eric Xing",MAIN TRACK
Handwritten Mathematical Expression Recognition via Attention Aggregation based Bi-Directional Mutual Learning,2022,AAAI,"Xiaohang Bian, Bo Qin, Xiaozhe Xin, Jianwu Li, Xuefeng Su, Yanfeng Wang",MAIN TRACK
Tractable Abstract Argumentation via Backdoor-Treewidth,2022,AAAI,"Wolfgang Dvořak, Markus Hecher, Matthias König, André Schidler, Stefan Szeider, Stefan Woltran",MAIN TRACK
Model AI Assignments 2022,2022,AAAI,"Todd Neller, Jazmin Collins, Daniel Schneider, Yim Register, Christopher Brooks, Chiawei Tang, , Roozbeh Aliabadi, Annabel Hasty, Sultan Albarakati, Haotian Fang, Harvey Yin,",DOCTORAL CONSORTIUM
CrossWalk: Fairness-Enhanced Node Representation Learning,2022,AAAI,"Ahmad Khajehnejad, Moein Khajehnejad, Mahmoudreza Babaei, Krishna P. Gummadi, Adrian Weller, Baharan Mirzasoleiman",AI FOR SOCIAL IMPACT TRACK
Language Model Priming for Cross-Lingual Event Extraction,2022,AAAI,"Steven Fincke, Shantanu Agarwal, Scott Miller, Elizabeth Boschee",MAIN TRACK
A Causal Inference Look At Unsupervised Video Anomaly Detection,2022,AAAI,"Xiangru Lin, Yuyang Chen, Guanbin Li, Yizhou Yu",MAIN TRACK
Anisotropic Additive Quantization for Fast Inner Product Search,2022,AAAI,"Jin Zhang, Qi Liu, Defu Lian, Zheng Liu, Le Wu, Enhong Chen",MAIN TRACK
Boosting Generative Zero-Shot Learning by Synthesizing Diverse Features with Attribute Augmentation,2022,AAAI,"Xiaojie Zhao, Yuming Shen, Shidong Wang, Haofeng Zhang",MAIN TRACK
"Explain, Edit, and Understand: Rethinking User Study Design for Evaluating Model Explanations",2022,AAAI,"Siddhant Arora, Danish Pruthi, Norman Sadeh, William W. Cohen, Zachary C. Lipton, Graham Neubig",MAIN TRACK
Early-Bird GCNs: Graph-Network Co-Optimization Towards More Efficient GCN Training and Inference via Drawing Early-Bird Lottery Tickets,2022,AAAI,"Haoran You, Zhihan Lu, Zijian Zhou, Yonggan Fu, Yingyan Lin",MAIN TRACK
A Scalable Parallel Algorithm for Balanced Sampling (Student Abstract),2022,AAAI,"Alexander Lee, Stefan Walzer-Goldfeld, Shukry Zablah, Matteo Riondato",STUDENT ABSTRACT AND POSTER PROGRAM
Bi-CMR: Bidirectional Reinforcement Guided Hashing for Effective Cross-Modal Retrieval,2022,AAAI,"Tieying Li, Xiaochun Yang, Bin Wang, Chong Xi, Hanzhong Zheng, Xiangmin Zhou",MAIN TRACK
Facilitating Human-Wildlife Cohabitation through Conflict Prediction,2022,AAAI,"Susobhan Ghosh, Pradeep Varakantham, Aniket Bhatkhande, Tamanna Ahmad, Anish Andheria, Wenjun Li, Aparna Taneja, Divy Thakkar, Milind Tambe",MAIN TRACK
Combating Sampling Bias: A Self-Training Method in Credit Risk Models,2022,AAAI,"Jingxian Liao, Wei Wang, Jason Xue, Anthony Lei, Xue Han, Kun Lu",STUDENT ABSTRACT AND POSTER PROGRAM
Stochastic Goal Recognition Design Problems with Suboptimal Agents,2022,AAAI,"Christabel Wayllace, William Yeoh",MAIN TRACK
Locality Matters: A Scalable Value Decomposition Approach for Cooperative Multi-Agent Reinforcement Learning,2022,AAAI,"Roy Zohar, Shie Mannor, Guy Tennenholtz",MAIN TRACK
Hybrid Deep Learning Model for Fake News Detection in Social Networks (Student Abstract),2022,AAAI,"Bibek Upadhayay, Vahid Behzadan",STUDENT ABSTRACT AND POSTER PROGRAM
Sequence Level Contrastive Learning for Text Summarization,2022,AAAI,"Shusheng Xu, Xingxing Zhang, Yi Wu, Furu Wei",MAIN TRACK
Semantic Feature Discovery with Code Mining and Semantic Type Detection,2022,AAAI,"Kavitha Srinivas, Takaaki Tateishi, Daniel Karl I. Weidele, Udayan Khurana, Horst Samulowitz, Toshihiro Takahashi, Dakuo Wang, Lisa Amini",DEMONSTRATIONS
Channelized Axial Attention - Considering Channel Relation within Spatial Attention for Semantic Segmentation,2022,AAAI,"Ye Huang, Di Kang, Wenjing Jia, Liu Liu, Xiangjian He",MAIN TRACK
MS-HGAT: Memory-Enhanced Sequential Hypergraph Attention Network for Information Diffusion Prediction,2022,AAAI,"Ling Sun, Yuan Rao, Xiangbo Zhang, Yuqian Lan, Shuanghe Yu",MAIN TRACK
Fine-Grained Urban Flow Inference via Normalizing Flow (Student Abstract),2022,AAAI,"Haoyang Yu, Xovee Xu, Ting Zhong, Fan Zhou",STUDENT ABSTRACT AND POSTER PROGRAM - FINALIST
New Results in Bounded-Suboptimal Search,2022,AAAI,"Maximilian Fickert, Tianyi Gu, Wheeler Ruml",MAIN TRACK
Learning Robust Policy Against Disturbance in Transition Dynamics via State-Conservative Policy Optimization,2022,AAAI,"Yufei Kuang, Miao Lu, Jie Wang, Qi Zhou, Bin Li, Houqiang Li",MAIN TRACK
Stability Verification in Stochastic Control Systems via Neural Network Supermartingales,2022,AAAI,"Mathias Lechner, Đorđe Žikelić, Krishnendu Chatterjee, Thomas A. Henzinger",MAIN TRACK
How Good Are Low-Rank Approximations in Gaussian Process Regression?,2022,AAAI,"Constantinos Daskalakis, Petros Dellaportas, Aristeidis Panos",MAIN TRACK
Multiple-Source Domain Adaptation via Coordinated Domain Encoders and Paired Classifiers,2022,AAAI,Payam Karisani,MAIN TRACK
Boost Supervised Pretraining for Visual Transfer Learning: Implications of Self-Supervised Contrastive Representation Learning,2022,AAAI,"Jinghan Sun, Dong Wei, Kai Ma, Liansheng Wang, Yefeng Zheng",MAIN TRACK
Gaussian Process Bandits with Aggregated Feedback,2022,AAAI,"Mengyan Zhang, Russell Tsuchida, Cheng Soon Ong",MAIN TRACK
ZINB-Based Graph Embedding Autoencoder for Single-Cell RNA-Seq Interpretations,2022,AAAI,"Zhuohan Yu, Yifu Lu, Yunhe Wang, Fan Tang, Ka-Chun Wong, Xiangtao Li",MAIN TRACK
Ensemble Semi-Supervised Entity Alignment via Cycle-Teaching,2022,AAAI,"Kexuan Xin, Zequn Sun, Wen Hua, Bing Liu, Wei Hu, Jianfeng Qu, Xiaofang Zhou",MAIN TRACK
Entailment Relation Aware Paraphrase Generation,2022,AAAI,"Abhilasha Sancheti, Rachel Rudinger, Balaji Vasan Srinivasan",MAIN TRACK
MVG: Multi-view Graph Representation Learning for Programming Language Processing,2022,AAAI,"Ting Long, Yutong Xie, Xianyu Chen, Weinan Zhang, Qinxiang Cao, Yong Yu",MAIN TRACK
Learning Aligned Cross-Modal Representation for Generalized Zero-Shot Classification,2022,AAAI,"Zhiyu Fang, Xiaobin Zhu, Chun Yang, Zheng Han, Xu-Cheng Yin, Jingyan Qin",MAIN TRACK
Natural Black-Box Adversarial Examples Against Deep Reinforcement Learning,2022,AAAI,"Mengran Yu, Shiliang Sun",MAIN TRACK
Unsupervised Underwater Image Restoration: From a Homology Perspective,2022,AAAI,"Zhenqi Fu, Huangxing Lin, Yan Yang, Shu Chai, Liyan Sun, Yue Huang, Xinghao Ding",MAIN TRACK
Fusing task-oriented and open-domain dialogues in conversational agents,2022,AAAI,"Tom Young, Frank Xing, Vlad Pandelea, Jinjie Ni, Erik Cambria",MAIN TRACK
Resistance Training Using Prior Bias: Toward Unbiased Scene Graph Generation,2022,AAAI,"Chao Chen, Yibing Zhan, Baosheng Yu, Liu Liu, Yong Luo, Bo Du",MAIN TRACK
Adaptive Safe Behavior Generation for Heterogeneous Autonomous Vehicles Using Parametric-Control Barrier Functions (Student Abstract),2022,AAAI,"Yiwei Lyu, Wenhao Luo, John Dolan",STUDENT ABSTRACT AND POSTER PROGRAM - FINALIST
Knowledge-Enhanced Scene Graph Generation with Multimodal Relation Alignment (Student Abstract),2022,AAAI,"Ze Fu, Junhao Feng, Changmeng Zheng, Yi Cai",STUDENT ABSTRACT AND POSTER PROGRAM
Polygon-to-Polygon Distance Loss for Rotated Object Detection,2022,AAAI,"Yang Yang, Jifeng Chen, Xiaopin Zhong, Yuanlong Deng",MAIN TRACK
Offline Reinforcement Learning as Anti-Exploration,2022,AAAI,"Shideh Rezaeifar, Robert Dadashi, Nino Vieillard, Léonard Hussenot, Olivier Bachem, Olivier Pietquin, Matthieu Geist",MAIN TRACK
CAISE: Conversational Agent for Image Search and Editing,2022,AAAI,"Hyounghun Kim, Doo Soon Kim, Seunghyun Yoon, Franck Dernoncourt, Trung Bui, Mohit Bansal",MAIN TRACK
Controlling the Spread of Two Secrets in Diverse Social Networks (Student Abstract),2022,AAAI,"V√°clav Bla≈æej, Du≈°an Knop, ≈†imon Schierreich",STUDENT ABSTRACT AND POSTER PROGRAM
FactorVAE: A Probabilistic Dynamic Factor Model Based on Variational Autoencoder for Predicting Cross-Sectional Stock Returns,2022,AAAI,"Yitong Duan, Lei Wang, Qizhong Zhang, Jian Li",MAIN TRACK
Explainable and Local Correction of Classification Models Using Decision Trees,2022,AAAI,"Hirofumi Suzuki, Hiroaki Iwashita, Takuya Takagi, Keisuke Goto, Yuta Fujishige, Satoshi Hara",MAIN TRACK
Implicit Gradient Alignment in Distributed and Federated Learning,2022,AAAI,"Yatin Dandi, Luis Barba, Martin Jaggi",MAIN TRACK
Transformer Uncertainty Estimation with Hierarchical Stochastic Attention,2022,AAAI,"Jiahuan Pei, Cheng Wang, Gyorgy Szarvas",MAIN TRACK
Unpaired Multi-Domain Stain Transfer for Kidney Histopathological Images,2022,AAAI,"Yiyang Lin, Bowei Zeng, Yifeng Wang, Yang Chen, Zijie Fang, Jian Zhang, Xiangyang Ji, Haoqian Wang, Yongbing Zhang",MAIN TRACK
Meta Label Propagation for Few-Shot Semi-Supervised Learning on Graphs,2022,AAAI,"Kaize Ding, Jianling Wang, James Caverlee, Huan Liu",MAIN TRACK
An Emotion-Based Multi-Task Approach to Fake News Detection (Student Abstract),2022,AAAI,"Arjun Choudhry, Inder Khatri, Minni Jain",STUDENT ABSTRACT AND POSTER PROGRAM
Coordinating Momenta for Cross-Silo Federated Learning,2022,AAAI,"An Xu, Heng Huang",MAIN TRACK
SmartIdx: Reducing Communication Cost in Federated Learning by Exploiting the CNNs Structures,2022,AAAI,"Donglei Wu, Xiangyu Zou, Shuyu Zhang, Haoyu Jin, Wen Xia, Binxing Fang",MAIN TRACK
Reducing Energy Consumption of Pressure Sensor Calibration Using Polynomial HyperNetworks with Fourier Features,2022,AAAI,"Muhammad Sarmad, Mishal Fatima, Jawad Tayyub",AI FOR SOCIAL IMPACT TRACK
Highlighting Object Category Immunity for the Generalization of Human-Object Interaction Detection,2022,AAAI,"Xinpeng Liu, Yong-Lu Li, Cewu Lu",MAIN TRACK
Beach' to 'Bitch': Inadvertent Unsafe Transcription of Kids' Content on YouTube,2022,AAAI,"Krithika Ramesh, Ashiqur KhudaBukhsh, Sumeet Kumar",AI FOR SOCIAL IMPACT TRACK
Geotagging Social Media Posts to Landmarks Using Hierarchical BERT (Student Abstract),2022,AAAI,"Menglin Li, Kwan Hui Lim",STUDENT ABSTRACT AND POSTER PROGRAM
Pose Adaptive Dual Mixup for Few-Shot Single-View 3D Reconstruction,2022,AAAI,"Ta-Ying Cheng, Hsuan-ru Yang, Niki Trigoni, Hwann-Tzong Chen, Tyng-Luh Liu",MAIN TRACK
Zeroth-Order Optimization for Composite Problems with Functional Constraints,2022,AAAI,"Zichong Li, Pin-Yu Chen, Sijia Liu, Songtao Lu, Yangyang Xu",MAIN TRACK
TransMEF: A Transformer-Based Multi-Exposure Image Fusion Framework Using Self-Supervised Multi-Task Learning,2022,AAAI,"Linhao Qu, Shaolei Liu, Manning Wang, Zhijian Song",MAIN TRACK
Contrast-Enhanced Semi-Supervised Text Classification with Few Labels,2022,AAAI,"Austin Cheng-Yun Tsai, Sheng-Ya Lin, Li-Chen Fu",MAIN TRACK
Text Revision by On-the-Fly Representation Optimization,2022,AAAI,"Jingjing Li, Zichao Li, Tao Ge, Irwin King, Michael R. Lyu",MAIN TRACK
Preparing High School Teachers to Integrate AI Methods into STEM Classrooms,2022,AAAI,"Irene Lee, Beatriz Perret Gentil Paris",MAIN TRACK
Pale Transformer: A General Vision Transformer Backbone with Pale-Shaped Attention,2022,AAAI,"Sitong Wu, Tianyi Wu, Haoru Tan, Guodong Guo",MAIN TRACK
An Algorithmic Theory of Markets and Their Application to Decentralized Markets,2022,AAAI,Denizalp Goktas,DOCTORAL CONSORTIUM
Encoding Multi-Valued Decision Diagram Constraints as Binary Constraint Trees,2022,AAAI,"Ruiwei Wang, Roland H. C. Yap",MAIN TRACK
Fully Attentional Network for Semantic Segmentation,2022,AAAI,"Qi Song, Jie Li, Chenghong Li, Hao Guo, Rui Huang",MAIN TRACK
Efficient Virtual View Selection for 3D Hand Pose Estimation,2022,AAAI,"Jian Cheng, Yanguang Wan, Dexin Zuo, Cuixia Ma, Jian Gu, Ping Tan, Hongan Wang, Xiaoming Deng*, Yinda Zhang",MAIN TRACK
Graph Filtration Kernels,2022,AAAI,"Till H. Schulz, Pascal Welke, Stefan Wrobel",MAIN TRACK
Tailor Versatile Multi-Modal Learning for Multi-Label Emotion Recognition,2022,AAAI,"Yi Zhang, Mingyuan Chen, Jundong Shen, Chongjun Wang",MAIN TRACK
STEM: Unsupervised STructural EMbedding for Stance Detection,2022,AAAI,"Ron Korenblum Pick, Vladyslav Kozhukhov, Dan Vilenchik, Oren Tsur",MAIN TRACK
GRU4RecBE: A Hybrid Session-Based Movie Recommendation System (Student Abstract),2022,AAAI,"Michael Potter, Hamlin Liu, Yash Lala, Christian Loanzon, Yizhou Sun",STUDENT ABSTRACT AND POSTER PROGRAM
Generalization in Mean Field Games by Learning Master Policies,2022,AAAI,"Sarah Perrin, Mathieu Lauriere, Julien Perolat, Romuald Elie, Matthieu Geist, Olivier Pietquin",MAIN TRACK
TA2N: Two-Stage Action Alignment Network for Few-Shot Action Recognition,2022,AAAI,"Shuyuan Li, Huabin Liu, Rui Qian, Yuxi Li, John See, Mengjuan Fei, Xiaoyuan Yu, Weiyao Lin",MAIN TRACK
Powering Finetuning in Few-shot Learning: Domain-Agnostic Bias Reduction with Selected Sampling,2022,AAAI,"Ran Tao, Han Zhang, Yutong Zheng, Marios Savvides",MAIN TRACK
Conditional Local Convolution for Spatio-Temporal Meteorological Forecasting,2022,AAAI,"Haitao Lin, Zhangyang Gao, yongjie xu, Lirong Wu, Ling Li, Stan Z. Li",MAIN TRACK
The King is Naked: On the Notion of Robustness for Natural Language Processing,2022,AAAI,"Emanuele La Malfa, Marta Kwiatkowska",MAIN TRACK
ReforesTree: A Dataset for Estimating Tropical Forest Carbon Stock with Deep Learning and Aerial Imagery,2022,AAAI,"Gyri Reiersen, David Dao, Björn Lütjens, Konstantin Klemmer, Kenza Amara, Attila Steinegger, Ce Zhang, Xiaoxiang Zhu",AI FOR SOCIAL IMPACT TRACK
OVIS: Open-Vocabulary Visual Instance Search via Visual-Semantic Aligned Representation Learning,2022,AAAI,"Sheng Liu, Kevin Lin, Lijuan Wang, Junsong Yuan, Zicheng Liu",MAIN TRACK
Lower Bounds on Intermediate Results in Bottom-Up Knowledge Compilation,2022,AAAI,"Alexis de Colnet, Stefan Mengel",MAIN TRACK
MWPToolkit: An Open-Source Framework for Deep Learning-Based Math Word Problem Solvers,2022,AAAI,"Yihuai Lan, Lei Wang, Qiyuan Zhang, Yunshi Lan, Bing Tian Dai, Yan Wang, Dongxiang Zhang, Ee-Peng Lim",DEMONSTRATIONS
Complementary Attention Gated Network for Pedestrian Trajectory Prediction,2022,AAAI,"Jinghai Duan, Le Wang, Chengjiang Long, Sanping Zhou, Fang Zheng, Liushuai Shi, Gang Hua",MAIN TRACK
AlphaHoldem: High-Performance Artificial Intelligence for Heads-Up No-Limit Poker via End-to-End Reinforcement Learning,2022,AAAI,"Enmin Zhao, Renye Yan, Institute of Automation, Chinese Academy of Sciences)Institute of Automation, Chinese Academy of Sciences；School of artificial intelligence, University of Chinese Academy of Sciences)Institute of Automation, Chinese Academy of Sciences)Institute of Automation, Chinese Academy of Sciences)*",MAIN TRACK
Coarse-to-Fine Generative Modeling for Graphic Layouts,2022,AAAI,"Zhaoyun Jiang, Shizhao Sun, Jihua Zhu, Jian-Guang Lou, Dongmei Zhang",MAIN TRACK
Sharp Restricted Isometry Property Bounds for Low-Rank Matrix Recovery Problems with Corrupted Measurements,2022,AAAI,"Ziye Ma, Yingjie Bi, Javad Lavaei, Somayeh Sojoudi",MAIN TRACK
Shaping Noise for Robust Attributions in Neural Stochastic Differential Equations,2022,AAAI,"Sumit Kumar Jha, Rickard Ewetz, Alvaro Velasquez, Arvind Ramanathan, Susmit Jha",MAIN TRACK
ELMA: Energy-Based Learning for Multi-Agent Activity Forecasting,2022,AAAI,"Yuke Li, Pin Wang, Lixiong Chen, Zheng Wang, Ching-Yao Chan",MAIN TRACK
