Title,Year,Source,Authors,Class
OA-FSUI2IT: A Novel Few-Shot Cross Domain Object Detection Framework with Object-Aware Few-shot Unsupervised Image-to-Image Translation,2022,AAAI,"Lifan Zhao, Yunlong Meng, Lin Xu",MAIN TRACK
Cross-Modal Mutual Learning for Audio-Visual Speech Recognition and Manipulation,2022,AAAI,"Chih-Chun Yang, Wan-Cyuan Fan, Cheng-Fu Yang, Yu-Chiang Frank Wang",MAIN TRACK
Active Sampling for Text Classification with Subinstance Level Queries,2022,AAAI,"Shayok Chakraborty, Ankita Singh",MAIN TRACK
SplitFed: When Federated Learning Meets Split Learning,2022,AAAI,"Chandra Thapa, M.A.P. Chamikara , Seyit Camtepe, Lichao Sun",MAIN TRACK
Towards Automating Model Explanations with Certified Robustness Guarantees,2022,AAAI,"Mengdi Huai, Jinduo Liu, Chenglin Miao, Liuyi Yao, Aidong Zhang",MAIN TRACK
Static-Dynamic Co-Teaching for Class-Incremental 3D Object Detection,2022,AAAI,"Na Zhao, Gim Hee Lee",MAIN TRACK
On the Impossibility of Non-Trivial Accuracy in Presence of Fairness Constraints,2022,AAAI,"Carlos Pinzón, Catuscia Palamidessi, Pablo Piantanida, Frank Valencia",MAIN TRACK
Towards Robust Named Entity Recognition via Temporal Domain Adaptation and Entity Context Understanding,2022,AAAI,Oshin Agarwal,DOCTORAL CONSORTIUM
Cross-Modal Coherence for Text-to-Image Retrieval,2022,AAAI,"Malihe Alikhani, Fangda Han, Hareesh Ravi, Mubbasir Kapadia, Vladimir Pavlovic, Matthew Stone",MAIN TRACK
Go Wider Instead of Deeper,2022,AAAI,"Fuzhao Xue, Ziji Shi, Futao Wei, Yuxuan Lou, Yong Liu, Yang You",MAIN TRACK
TDv2: A Novel Tree-Structured Decoder for Offline Mathematical Expression Recognition,2022,AAAI,"Changjie Wu, Jun Du, Yunqing Li, Jianshu Zhang, Chen Yang, Bo Ren, Yiqing Hu",MAIN TRACK
Learning to Solve Travelling Salesman Problem with Hardness-Adaptive Curriculum,2022,AAAI,"Zeyang Zhang, Ziwei Zhang, Xin Wang, Wenwu Zhu",MAIN TRACK
Machine Learning for Utility Prediction in Argument-Based Computational Persuasion,2022,AAAI,"Ivan Donadello, Anthony Hunter, Stefano Teso, Mauro Dragoni",MAIN TRACK
Nice Perfume. How Long did You Marinate in It? Multimodal Sarcasm Explanation,2022,AAAI,"Poorav Desai, Tanmoy Chakraborty, Md Shad Akhtar",MAIN TRACK
Geometry Interaction Knowledge Graph Embeddings,2022,AAAI,"Zongsheng Cao, Qianqian Xu, Zhiyong Yang, Xiaochun Cao, Qingming Huang",MAIN TRACK
Actionable Model-Centric Explanations (Student Abstract),2022,AAAI,"Cecilia Morales, Nicholas Gisolfi, Robert Edman, James Kyle Milller, Artur Dubrawski",STUDENT ABSTRACT AND POSTER PROGRAM
Self-Supervised Spatiotemporal Representation Learning by Exploiting Video Continuity,2022,AAAI,"Hanwen Liang, Niamul Quader, Zhixiang Chi, Lizhe Chen, Peng Dai, Juwei Lu, Yang Wang",MAIN TRACK
Detecting Human-Object Interactions with Object-Guided Cross-Modal Calibrated Semantics,2022,AAAI,"Hangjie Yuan, Mang Wang, Dong Ni, Liangpeng Xu",MAIN TRACK
Learning to Search in Local Branching,2022,AAAI,"Defeng Liu, Matteo Fischetti, Andrea Lodi",MAIN TRACK
Logit Perturbation,2022,AAAI,"Mengyang Li, Fengguang Su, Ou Wu, Ji Zhang",MAIN TRACK
